"","PROBEID","SYMBOL","ENTREZID","GENENAME"
"1","209719_x_at","SERPINB3","6317","serpin family B member 3"
"2","210413_x_at","SERPINB4","6318","serpin family B member 4"
"3","210413_x_at","SERPINB3","6317","serpin family B member 3"
"4","211906_s_at","SERPINB4","6318","serpin family B member 4"
"5","206172_at","IL13RA2","3598","interleukin 13 receptor subunit alpha 2"
"6","209720_s_at","SERPINB3","6317","serpin family B member 3"
"7","211756_at","PTHLH","5744","parathyroid hormone like hormone"
"8","202949_s_at","FHL2","2274","four and a half LIM domains 2"
"9","205207_at","IL6","3569","interleukin 6"
"10","204602_at","DKK1","22943","dickkopf WNT signaling pathway inhibitor 1"
"11","201739_at","SGK1","6446","serum/glucocorticoid regulated kinase 1"
"12","217388_s_at","KYNU","8942","kynureninase"
"13","1556773_at",NA,NA,NA
"14","227609_at","EPSTI1","94240","epithelial stromal interaction 1"
"15","222857_s_at","KCNMB4","27345","potassium calcium-activated channel subfamily M regulatory beta subunit 4"
"16","209946_at","VEGFC","7424","vascular endothelial growth factor C"
"17","219049_at","CSGALNACT1","55790","chondroitin sulfate N-acetylgalactosaminyltransferase 1"
"18","206343_s_at","NRG1","3084","neuregulin 1"
"19","212543_at","CRYBG1","202","crystallin beta-gamma domain containing 1"
"20","1553995_a_at","NT5E","4907","5'-nucleotidase ecto"
"21","203910_at","ARHGAP29","9411","Rho GTPase activating protein 29"
"22","208891_at","DUSP6","1848","dual specificity phosphatase 6"
"23","212942_s_at","CEMIP","57214","cell migration inducing hyaluronidase 1"
"24","205534_at","PCDH7","5099","protocadherin 7"
"25","205767_at","EREG","2069","epiregulin"
"26","223557_s_at","TMEFF2","23671","transmembrane protein with EGF like and two follistatin like domains 2"
"27","216870_x_at","DLEU2","8847","deleted in lymphocytic leukemia 2"
"28","211964_at","COL4A2","1284","collagen type IV alpha 2 chain"
"29","219874_at","SLC12A8","84561","solute carrier family 12 member 8"
"30","227020_at","YPEL2","388403","yippee like 2"
"31","205404_at","HSD11B1","3290","hydroxysteroid 11-beta dehydrogenase 1"
"32","205110_s_at","FGF13","2258","fibroblast growth factor 13"
"33","217996_at","PHLDA1","22822","pleckstrin homology like domain family A member 1"
"34","217997_at","PHLDA1","22822","pleckstrin homology like domain family A member 1"
"35","221731_x_at","VCAN","1462","versican"
